vocab,Freq
아마기,48
스킨,39
이거,34
근데,29
존나,20
복주머니,20
진짜,17
내일,17
전카가,16
이소카제,16
공지,15
류조,14
벽람,13
이제,12
벽붕이들,12
나가토,12
이번에,11
이번,11
시발,11
이즈모,10
오늘,10
나오면,10
헬레나,9
카가,9
좋겠다,9
이벤,9
워싱턴,9
오로라,9
씨발,9
함순이,8
한정건조,8
탄막,8
지금,8
전함카가,8
이벤트,8
아카가,8
제일,7
얼마나,7
신년,7
솔직히,7
너무,7
후부키,6
코멘트,6
초청장,6
이부키,6
원래,6
아타고,6
아카시,6
아야나미,6
아니,6
신년스킨,6
빨리,6
물자,6
라투디,6
그냥,6
호놀룰루,5
할인,5
프오웨,5
탄막이,5
큐브,5
전함,5
이건,5
없음,5
없냐,5
어제,5
아직,5
아시가라,5
아님,5
아니냐,5
생루이,5
생각해보니,5
보면,5
몬필,5
님들,5
누구,5
념글,5
pr함,5
호놀,4
한섭은,4
파이리는,4
키시요,4
캐릭,4
있음,4
이번엔,4
이름,4
이렇게,4
이겜,4
왤케,4
오이겐,4
연습전,4
없다,4
업뎃,4
언제,4
싶다,4
신규,4
스킨은,4
설마,4
사면,4
복주머니는,4
뭔데,4
뭐임,4
모나크,4
늒네,4
뉴비,4
나오기,4
그럼,4
계정,4
27일,4
10,4
확률,3
함선,3
하면,3
하는거,3
하나도,3
핑하이,3
픽시브,3
포인트,3
페도캐릭,3
파밍,3
티르피츠,3
클스,3
코어샵,3
캐릭터,3
추천해준다,3
좋음,3
좆본,3
정리,3
장비,3
있으면,3
입수시간으로,3
일섭도,3
인싸의뢰,3
이거임,3
음란마귀가,3
연구,3
에든버러,3
어차피,3
어뢰,3
어떻게,3
어떰,3
어디서,3
얘네,3
얌시롱,3
애들은,3
애들,3
안올라오냐,3
아직도,3
아닌가,3
아니라,3
쓰레기임,3
쓰레기냐,3
스토리,3
스킬,3
스킨이,3
순전이고,3
소개,3
셰필드,3
센루,3
성능,3
서약스킨,3
서약,3
사실,3
사다코,3
복각,3
방금,3
밖에,3
미쳤네,3
뭐냐,3
몬트필리어,3
말고,3
르테메,3
류조는,3
때문에,3
드디어,3
도크,3
데이터주의,3
대체,3
다이아,3
닝핑,3
나카,3
나와도,3
나와,3
나올,3
나오는,3
꼬추,3
기름,3
금딱,3
그렇게,3
그러고보니,3
그래서,3
구글,3
게이트,3
건조,3
개장하면,3
개장,3
갑자기,3
가서,3
100,3
흑우,2
휴가,2
후회하는거,2
후드포,2
확정이고,2
화력,2
호밍비콘,2
허벅지가,2
했다,2
항공연료,2
할인하는,2
한섭,2
한산도,2
하루,2
하늘,2
하는,2
하나,2
하고나서,2
필요하냐,2
페도,2
패키지도,2
패치한다,2
패치하긴하냐,2
특징,2
터진다,2
탄막전함은,2
퀸엘,2
코리안,2
카가는,2
추천좀,2
추천,2
초대장,2
처음,2
챙기십시오,2
채팅창,2
질문좀,2
질문,2
지휘관렙,2
