vocab,Freq
하루히,1562
스즈미야,262
나가토,238
하루히는,205
미쿠루,128
소실,117
3기,108
이거,106
애니,106
시발,100
입갤,99
진짜,86
에이트,74
근데,69
오늘,65
하루히를,64
갤러리,64
우울,61
존나,56
아니,56
코이즈미,55
단장님,54
사사키,52
요즘,51
엔들리스,50
엔드리스,50
쿈새끼,48
츠루야,48
타니가와,46
라노벨,46
너무,46
4월,45
하갤,44
담론,43
하루,39
지금,39
이벤트,39
유키,39
오랜만에,39
나도,38
시리즈,37
노래,37
오늘은,36
여기,36
내가,36
sos단,36
하레하레,34
갤주,34
12월,34
만화,33
이제,32
피규어,31
일남충,31
하루히랑,30
솔직히,29
사실,29
하루히3기는솔직히,28
하루에,28
아사쿠라,28
봤는데,28
마지막,28
어디서,27
쿄애니,26
이런,26
이게,26
부흥계획,26
미쿠루는,26
다시,26
나가토의,26
한번,25
중계,25
알리는,25
신작,25
그래서,25
갑자기,25
하레하레요,24
작가,24
아니냐,24
보고,24
뭐야,24
뭐냐,24
단편,24
극장판,24
그래도,24
하갤러들,23
나오는,22
나가루,22
경악,22
5000,22
정주행,21
유키짱의,21
오늘의,21
아직도,21
아직,21
씨발,21
무슨,21
나는,21
그냥,21
갤주님,21
이렇게,20
유키짱,20
사람,20
님들,20
1월,20
히라노,19
캐릭터,19
있음,19
이유,19
어떻게,19
아님,19
누가,19
속보,18
소설,18
타니구치,17
왔습니다,17
여담,17
스즈미야하루히,17
량궁,17
그림전,17
가슴,17
후기,16
쿈이,16
제일,16
있는,16
있냐,16
오와콘,16
어제,16
갤러리에,16
1기,16
컴퓨터,15
좋아하는,15
우리,15
요약,15
왔다,15
오프닝,15
언제,15
아야,15
두번,15
다른,15
나온다,15
나가토vs하루히,15
갤주는,15
갓노우즈,15
2000년대,15
1등,15
12권,15
하는,14
유키쟝,14
여러분,14
약속,14
아사히나,14
빨리,14
보는데,14
많이,14
대한,14
달린다,14
간다,14
쿈의,13
케이온갤,13
찌찌,13
저거,13
장면,13
있다,13
이건,13
없냐,13
애니메이션,13
알아보자,13
살아있냐,13
보니까,13
보는,13
보고싶다,13
뭔데,13
모르는,13
데이터,13
대체,13
관련,13
게임,13
갤주야,13
같은,13
하르히,12
하나,12
처음,12
제발,12
있었네,12
있는데,12
있네,12
일본,12
이미,12
유키쨩,12
유카이,12
없는,12
싶다,12
소식,12
바니걸,12
모음,12
마이너,12
레전드,12
러키스타,12
드디어,12
넘나,12
그러고보니,12
허벅지,11
좋다,11
우리도,11
어우야,11
애니는,11
성우,11
생각해보니,11
벌써,11
뭐임,11
목소리,11
동인지,11
대충,11
다봤다,11
공지,11
2기,11
2010,11
11월,11
10000일,11
하면,10
하루히쨩,10
크리스마스,10
코삭,10
좋겠다,10
인기,10
이름,10
여동생,10
엑스트라,10
사람이,10
보면,10
미래인,10
메이드,10
다들,10
나옴,10
나올,10
글리젠,10
근황,10
귀엽지,10
결과,10
갤이,10
가장,10
3기가,10
헛소리,9
포니테일,9
특징,9
쿈은,9
짤털이,9
제가,9
정보,9
이세계,9
이번,9
오타쿠,9
에이트는,9
에반게리온,9
없음,9
없다,9
안나오는,9
안경,9
아아,9
아닐까,9
순위,9
소실은,9
사수좌의,9
봐도,9
문고판,9
모바일,9
몇개,9
떡밥,9
다음,9
다시보니까,9
내일,9
나오면,9
그림,9
그럼,9
그거,9
3기는,9
히토미,8
혹시,8
한국,8
투표,8
캐릭터송,8
추천좀,8
초능력,8
주의,8
좋지,8
좋음,8
저는,8
저게,8
작품,8
작가가,8
이유가,8
이야기,8
음악,8
유키쨩의,8
우주인,8
완주,8
오버타임,8
오늘도,8
역시,8
여기가,8
엔딩,8
없제,8
아씨발,8
아시발,8
아무리,8
아닌가,8
씹덕,8
시범,8
슬슬,8
생각이,8
상식,8
사실상,8
불가사의,8
본인,8
별로,8
변화를,8
밑에,8
미친,8
만화책,8
되는,8
도대체,8
대해,8
단장님의,8
니들,8
내용,8
내여귀는,8
결국,8
같이,8
5월,8
3월의,8
1화,8
1권,8
10년,8
표고버섯냄비장갑,7
팩트,7
