Name,fDate,lDate,activeDays,totalWrite
가나하히비키,2016-12-16,2019-4-28,859,478
스즈미야하루히,2018-1-10,2019-5-4,483,1023
ㅇㅇ ,2016-1-25,2019-5-4,1198,490
dcoldbie,2018-11-6,2019-5-4,177,529
320,2019-4-28,2019-4-28,0,4
asnwer,2018-12-1,2019-4-28,144,4
49me,2018-11-27,2019-4-28,149,2
레병장,2019-4-28,2019-4-28,0,1
park2,2018-8-25,2019-4-28,244,109
ㅇㅇ (39.112),2018-9-2,2019-4-28,236,7
히라사와유이,2019-4-28,2019-4-28,0,3
김해린,2019-4-28,2019-4-28,0,1
운영지,2019-3-25,2019-3-25,0,1
인천SK,2018-7-8,2019-5-4,299,221
ㅡㅡㅡㅡ,2019-4-28,2019-4-28,0,1
ㅇㅇ (222.119),2019-5-4,2019-5-4,0,1
ㅇㅇ (211.200),2019-4-27,2019-5-4,8,16
ㅇㅇ (218.53),2017-9-25,2019-5-4,585,5
인생을살아주세요,2019-4-28,2019-4-28,0,28
츠루야,2017-6-13,2019-5-4,690,5
수달수달,2019-4-28,2019-4-28,0,1
ㅇㅇ (223.39),2017-7-23,2019-5-1,646,14
ㅇㅇ (58.127),2016-1-30,2019-4-30,1188,32
신중적중,2018-9-3,2019-4-28,235,2
Ernbrio,2019-4-28,2019-4-28,0,3
ㅇㅇ (211.246),2019-4-26,2019-4-28,2,2
ㅇㅇ (223.33),2016-12-5,2019-5-3,876,11
HTT☆꾸꾸,2019-4-28,2019-4-28,0,1
ㅇㅇ (175.223),2016-10-4,2019-5-3,939,230
하루히즘,2018-8-6,2019-5-4,270,123
하루히,2017-3-31,2019-5-4,765,54
ㅇㅇ (122.254),2019-5-3,2019-5-3,0,1
ㅇㅇ (180.229),2019-5-3,2019-5-3,0,1
ㅇㅇ (221.167),2017-6-30,2019-5-2,671,2
ㅇㅇ (59.21),2019-4-27,2019-4-28,1,2
Mean,2019-2-23,2019-5-1,71,2
ㅇㅇ (122.45),2019-1-26,2019-5-1,99,3
와타나베,2018-12-3,2019-4-30,144,5
NimTRa,2018-8-10,2019-4-30,261,22
%20ㅇㅇ,2019-3-2,2019-4-30,59,2
ㅇㅇ (211.226),2018-8-12,2019-4-30,259,3
sunge,2019-2-1,2019-4-30,91,16
ㄴㅇ ㄴㅇㄹㅇㅇㄴ,2019-4-30,2019-4-30,0,1
ㅇㅇ (119.198),2019-2-20,2019-4-30,72,17
ㅇㅇ (222.106),2019-4-29,2019-4-29,0,1
ㅇㅇ (123.111),2018-9-11,2019-4-29,228,2
ㅇㅇ (183.106),2019-4-10,2019-4-29,19,2
ㅇㅇ (223.38),2018-7-30,2019-4-29,271,21
ㅇㅇ (117.111),2017-10-10,2019-4-29,563,5
감프퍼스,2019-4-17,2019-4-29,12,2
난초란,2019-4-28,2019-4-28,0,1
답답이글스,2019-3-10,2019-4-28,49,3
