vocab,Freq
백합,15329
보고싶다,12473
이거,9535
너무,7873
진짜,7568
근데,7453
나는,6581
만화,6083
보고,5378
오늘,4369
여아쟝,4258
번역,4176
방도리,4004
백갤,3687
모든,3663
요즘,3579
백붕이,3563
백합이,3494
내가,3294
싶다,3217
것이다,3111
아니,2751
시트러스,2739
존나,2729
있음,2632
소설,2531
이제,2517
사실,2445
좋아,2419
애니,2415
사람,2389
지금,2340
야가키미,2231
솔직히,2217
백합은,2197
이유,2154
보면,2101
노조미,2081
이런,2067
좋다,2065
좋겠다,2006
여고생,1972
하는,1970
많이,1913
카스미,1910
누가,1909
좋아하는,1906
리즈토리,1902
그냥,1879
어떻게,1859
시발,1855
뱅드림,1854
미사키,1854
나오는,1830
하나,1823
작가,1792
추천좀,1787
제일,1775
갑자기,1716
조아라,1680
있는,1641
뭐야,1635
나도,1634
가장,1626
봤는데,1609
스포,1573
악역영애,1547
허니문,1533
뭔가,1504
같은,1494
이번,1462
역시,1454
님들,1444
어디서,1423
커플링,1398
뭐임,1397
캐릭터,1367
아님,1352
백합물,1351
작가님,1341
그거,1339
카스아리,1332
무슨,1326
백갤럼,1324
센세,1316
있는데,1309
당나시,1303
좋음,1302
다시,1299
이게,1297
레진,1296
있냐,1285
념글,1285
추천,1284
히나사요,1281
대세는,1266
아니냐,1258
좋은,1257
핫산,1249
이토하치,1247
파엠,1240
보는,1240
애들,1234
미사코코,1233
없는,1232
여기,1220
다들,1206
없음,1198
회로,1191
왤케,1182
아리사,1158
보는데,1153
언제,1152
스토리,1127
백하,1123
뭐냐,1119
신작,1109
있어,1109
오랜만에,1108
백합만화,1107
이렇게,1105
레즈,1103
정말,1100
작품,1097
이건,1090
사요츠구,1083
빨리,1077
내일,1075
미조레,1066
보니까,1066
커플,1060
없냐,1052
사요히나,1051
이야기,1039
너네,1037
그림,1028
그래도,1027
낙차,1025
같음,1021
와타모테,1014
혹시,985
후기,980
원래,972
하면,966
게임,957
이런거,954
엄청,950
일본,941
주인공,941
귀여운,924
어떰,921
아는,920
좋은데,914
갤러리,911
이연박,907
레뷰,904
예전에,902
없나,901
다른,898
백갤럼들,897
요새,892
길잡이,888
좋아하고,883
판타지,881
않냐,880
아직도,869
같은데,869
아직,860
하고,856
치사토,845
동인지,840
나옴,832
있다,828
유키나,825
백합을,824
오늘은,822
뭐가,820
빡세,817
완전,807
했는데,806
여자,799
얘들아,794
웹툰,792
유포니엄,789
드디어,787
나만,786
마리미떼,784
방금,782
사요,781
소전,780
특징,780
노래,776
계속,775
언니,769
그래서,769
밑에,765
아니라,764
유키리사,762
생각나네,760
오늘도,756
저거,752
이번화,751
자꾸,743
트위터,743
중에,742
그럼,739
하는데,739
코코로,738
사람이,736
대체,733
하는거,733
백갤에,726
말고,724
레섹,722
1화,721
서로,714
블루밍,713
어제,713
같이,713
여아쟝들,712
그림체,711
백합에,709
같다,707
고양이,705
없어,703
우리,703
씨발,702
이북,697
돚거,697
럽라,693
질문,692
오빠아내,690
생각해,687
백갤에서,686
얀데레,686
나오면,682
벌써,681
이상한,661
제발,653
백갤러,650
없다,649
사야카,645
그렇게,645
백갤은,636
니들,636
알라딘,634
미친,633
외전,630
봤다,628
몽현,627
나의,620
히나,618
결국,615
제목,613
와타오시,612
귀여워,611
대백갤,608
추천해,607
좋지,604
그리드맨,603
이세계,602
오늘의,601
되는,599
사람들,598
이름,596
전에,594
백합의,594
작가가,593
백갤이,592
봐도,592
처음,590
어떤,588
백합짤,587
그러고보니,585
재밌네,585
최애부도,583
하나메르,581
때문에,580
단편,580
야한거,578
픽시브,576
한번,576
아야치사,576
얘네,572
아냐,571
아닐까,571
공식,571
하니까,569
2기,568
재밌음,566
열대어,566
마이너,562
있으면,562
어때,558
이벤트,557
치사카오,555
사아야,553
얼마나,551
파랑새,551
마마마,548
총수,548
오네로리,547
볼때마다,546
아무리,545
둘이,544
같아,542
쓰는,541
얘기,540
여자친구,540
은정수지,539
아야,537
싫어하는,537
있나,536
봄감기,535
아이돌,535
없네,534
2화,531
가학,530
재밌는,526
카오루,524
일러,522
이미,521
가끔,520
있지,519
뭐지,519
재밌다,517
생각하냐,516
포켓몬,516
봐라,516
애니화,515
보빔,515
모카란,514
있네,513
공모전,512
백합임,510
그런,509
보니,509
보고가,507
네가,507
궁금한게,506
정발,504
생각해보니,503
왔다,502
영화,500
드라마,500
메이플,499
자기,498
뭔데,497
일어나,495
이미지,494
아다치와,494
떡밥,494
알았는데,492
엔딩,491
근황,491
아조시들,490
않음,489
메이,489
쌍둥이,488
보면서,488
해도,487
조음,486
네이버,486
나온,486
토우코,485
갤에,485
백붕이들아,485
카케구루이,485
일본어,484
소녀,483
페그오,483
은근,483
귀엽다,482
유키란,482
있을까,479
동방,479
넘모,478
마법소녀,478
친구,476
최고의,475
별로,474
사쿠라,473
아까,472
여기서,471
마지막,468
보고싶네,467
노말,467
리즈와,465
웹소설,465
좋아하는데,465
개인적으로,463
애들이,459
된다,458
방애니,457
이윽고,457
맨날,457
오늘자,455
릴리트,453
보다가,453
정주행,452
항상,451
파는,450
이유가,450
그녀의,448
조아,447
크싸레,447
유루유리,446
모르는,446
그런데,446
분위기,445
남캐,443
장면,442
좋네,442
대충,440
있었는데,438
이짤,437
레즈퀸,437
선샤인,436
같은거,435
왔어,431
아가씨,431
숏컷,430
전부,427
백합분,427
리사,426
메이드,423
아다시마,422
남자,419
백합소설,418
나오네,418
백합으로,416
좋은거,414
하지,413
싶은데,412
여러분,412
되게,412
백갤러들,411
토모히마,411
이것도,411
옛날에,410
악신세,409
의외로,409
없지,408
않이,406
선생님,406
느낌,406
방법,405
디시콘,403
소꿉친구,402
하루,401
사귀는,400
츠구미,400
나노하,400
백바,400
생각보다,398
레즈섹스,396
이토하치는,395
확실히,395
머리,395
많은,395
보자,395
일단,394
코미코,394
바이케틀,394
사람은,393
아니면,393
히나가,393
생각,392
야한,392
실화냐,392
왔는데,392
한국,391
이상하게,390
크리스마스,390
떴다,390
속보,389
밖에,388
위한,387
한다,386
시리즈,386
그린,386
싶은,385
그리고,385
사이트,384
인기,382
좋아해,382
붕괴,382
생각하는,381
것도,381
보통,381
오메가버스,379
거의,378
념글에,378
있는거,377
좋더라,377
백합이라고,374
바로,374
3화,373
백합애니,373
여친,372
러브라이브,372
갓컾,372
개쩌는,372
링크,372
모녀백합,371
애들은,371
백합도,371
보고왔는데,371
맞지,371
수희,370
백합겜,370
생각남,369
유루캠,369
카오치사,369
모르겠다,369
설정,368
자매,368
가슴,368
많네,368
언제나,367
시마무라,366
왜이리,365
만들어,364
그런거,364
보기,364
아니야,363
볼만한,363
그리는,362
아니다,361
메이저,361
여자애,361
알고,360
월야화원,360
아닌가,360
새벽에,359
파스파레,359
머임,358
다음,357
올라온,357
여동생,356
백붕이들이,356
위해,355
디시,355
완결,354
망갤,353
다이앗코,352
약간,350
아는사람,349
극장판,349
먹고,349
어그로,348
나왔네,348
갤럼,347
대사,347
싶어,345
유리히메,345
백합에서,345
아줌마,344
포피파,343
저키스,342
레전드,341
아닌데,340
수능,337
싫다,337
흡혈귀,337
최신화,337
광고,337
그래,337
무엇,337
없어서,334
표지,333
사키,332
안되는,332
나왔으면,332
아아,331
나중에,329
사요가,329
사약,328
오파파고토,328
길모퉁이,327
자매백합,327
기분,327
댓글,327
이름이,326
백합보고싶다,326
결말,325
여자가,325
나온다,324
조금,323
올리는,323
친구가,322
머야,322
백일장,321
쓰고,320
이번에,320
