Date,totalPost,totalReply,totalView,newUser,avgStay
2017-7-01,3945,16990,840254,341,734
2017-8-01,22387,88232,4433266,593,642
2017-9-01,24530,94616,4176644,402,474
2017-10-01,19343,74736,4263731,309,412
2017-11-01,15183,64498,3743391,282,308
2017-12-01,17443,72084,3804454,202,334
2018-1-01,24398,96682,4396424,297,298
2018-2-01,17603,62937,4035284,251,289
2018-3-01,17347,67440,3891093,234,233
2018-4-01,14589,51865,3953557,176,262
2018-5-01,15157,52953,3901035,182,250
2018-6-01,11821,40565,2891035,168,159
2018-7-01,10520,38780,2843650,167,142
2018-8-01,11815,46782,3050429,191,162
2018-9-01,9438,38178,2680230,181,133
2018-10-01,14098,51929,3765711,221,146
2018-11-01,13230,50604,3118848,188,131
2018-12-01,16136,65846,3577775,250,101
2019-1-01,14049,56151,3299987,187,103
2019-2-01,11487,46097,3008066,164,119
2019-3-01,10851,43479,2980931,127,126
2019-4-01,10790,45762,3152189,160,93
2019-5-01,11735,47775,3152347,200,116
2019-6-01,9217,34269,3085481,136,86
2019-7-01,11021,41024,3354633,185,105
2019-8-01,9824,38004,2897775,164,67
2019-9-01,10606,41106,2900377,144,82
2019-10-01,11015,44683,3003188,153,72
2019-11-01,10713,45229,3145576,157,59
2019-12-01,10518,44159,3024950,153,57
2020-1-01,10202,42998,3208119,170,63
2020-2-01,9745,40381,3090516,144,59
2020-3-01,10620,40656,3424736,157,47
2020-4-01,12032,47077,3448402,144,35
2020-5-01,13416,55714,3756932,186,31
2020-6-01,9609,39839,2971809,160,26
2020-7-01,8416,35730,2719493,137,25
2020-8-01,9728,42974,3015151,150,23
2020-9-01,9087,42286,2993080,126,8
2020-10-01,7725,32516,2222567,128,21
