vocab,Freq
하루히,196
입갤,185
시발,92
미쿠루,90
나가토,76
쿈새끼,57
진짜,53
아니,46
존나,45
하루히쉑,40
일남충,40
츠루야누나,34
근데,33
코이즈미,29
중계,28
가슴,25
노래,23
너무,21
아사쿠라,21
3기,21
찌찌,20
4월,20
나도,20
미쿠루쟝,20
오늘,19
하루히는,18
씨발,18
1등,16
아니냐,15
코이즈미쉑,14
빨리,14
에이트,14
유키쟝,14
이거,14
지금,14
스즈미야,13
여동생,13
뭔데,13
허벅지,13
타니구치,13
이제,13
솔직히,13
엔드리스,13
저거,12
메이드,12
상식,12
누가,12
코삭,12
그냥,11
어우야,11
넘나,10
이미,10
이지랄,10
속보,10
아사히나,10
오늘은,10
사실,10
나가토는,10
뭐냐,10
하루히x도라에몽,9
아씨발,9
복선,9
저게,9
하레하레유카이,9
sos단,9
오프닝,9
수준,9
안경,9
어디서,9
헛소리,9
벌써,9
우주인,9
여기,8
그래서,8
12화,8
엔들리스,8
모르는,8
바니걸,8
시작,7
미래인,7
이거야,7
재입갤,7
초능력,7
개꼴,7
방송,7
이렇게,7
유카타,7
유키,7
갤러리,7
여기서,7
포니테일,7
야스각,7
나가토도,7
입갤wwwwwwwwwww,7
애니,7
단장님,7
실북갤,7
중대발표,7
오랜만에,6
사실상,6
예정,6
오늘도,6
시리즈,6
아니시발,6
가슴에,6
저새끼들,6
순위,6
우리도,6
야십분,6
다시,6
아직,6
1위,6
5월,6
유키짱,6
쉬는시간에,6
쿈이,6
있음,6
다음,6
커엽,6
분노의,6
어떻게,6
뭐야,6
미쿠루는,6
제발,6
프레임,6
컴퓨터,6
언제,6
대체,6
가즈앜,6
없음,6
떡밥,6
아시발,6
에피소드,6
이런,6
표정,6
이름,5
집에가서,5
메이드복,5
기관,5
없는,5
일남충들,5
와시발,5
가슴라인,5
우리,5
토들러,5
어딨냐,5
아이돌갤,5
알제,5
야스,5
로리,5
섹스어필,5
입갤wwwwwww,5
내일,5
처음,5
어디갔냐고,5
이유,5
끝까지,5
비키니,5
수영복,5
천사의,5
역전재판,5
입개,5
아님,5
틀어주셈,5
입갤wwwwwwwwww,5
야구,5
어제,5
나오는,5
입갤wwwwwwwwwwwww,5
없제,5
가자,5
목소리,5
오와콘,5
범인,5
그래도,5
염전노예,5
도배,4
레전드,4
중계달리고있노,4
학교,4
생각나네,4
토마레,4
살아있는거있음,4
아직도,4
시간,4
게이야,4
일본,4
아웃소싱,4
왕찌찌,4
그자체,4
하나,4
가능,4
갑자기,4
마인드,4
커여움,4
장면,4
곱등이,4
개쩌네,4
클로즈업,4
설명충,4
9시,4
개커엽,4
좋아하는,4
원래,4
대학생들,4
골반,4
창녀,4
발언,4
볼때마다,4
계속,4
대사,4
무슨,4
유키쨩,4
보고,4
부르마,4
방에,4
간호사,4
링크,4
정신병,4
좋음,4
캘린더섬,4
커엽다,4
방종,4
미친,4
단장,4
소스단,4
사복,4
내가,4
퍄퍄퍄퍄,4
세계,4
스샷,4
8개,4
재앙,4
이게,4
커엽네,4
저새끼,4
모름,4
타니가와,4
1기,4
처녀막,4
부럽네,4
이래서,4
와중에,4
뭐임,4
그와중에,4
상식이,4
아니지,4
방금,4
실북,4
이번엔,4
흑우,4
날카롭죠,4
있냐,4
지가,4
역시,4
어째,4
브라,4
연속등록,4
뭔가,4
폐쇄공간,4
생각이,4
미쳤네,4
리빌드,4
봐라,4
4화,4
단편,4
같이,4
매미,4
